  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:43:52      0.00      0.00
19:43:53      0.00      0.00
19:43:54      0.00      0.00
19:43:55      0.00      0.00
19:43:56      0.79      0.00
19:43:57      0.00      0.00
19:43:58      0.00      0.00
19:43:59      0.00      0.00
19:44:00      0.00      0.00
19:44:01      0.05      0.05
19:44:02      0.00      0.00
19:44:03      0.05      0.05
19:44:04      0.00      0.00
19:44:05      0.00      0.00
19:44:06      0.16      0.13
19:44:07      0.05      0.05
19:44:08      0.00      0.00
19:44:09      0.00      0.00
19:44:10      0.00      0.00
19:44:11      0.00      0.00
19:44:12      0.00      0.00
19:44:13      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:44:14      0.00      0.00
19:44:15      0.00      0.00
19:44:16      0.00      0.00
19:44:17      0.00      0.00
19:44:18      0.00      0.00
19:44:19      0.00      0.00
19:44:20      0.00      0.00
19:44:21      0.21      0.00
19:44:22      0.21      0.00
19:44:23      0.21      0.00
19:44:24      0.21      0.00
19:44:25      0.00      0.00
19:44:26      0.00      0.00
19:44:27      0.00      0.00
19:44:28      0.19      0.00
19:44:29      0.30      0.05
19:44:30      0.00      0.00
19:44:31      0.05      0.05
19:44:32      0.00      0.00
19:44:33      0.00      0.00
19:44:34      0.08      0.08
19:44:35      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:44:36      0.05      0.05
19:44:37      0.00      0.00
19:44:38      0.00      0.00
19:44:39      0.00      0.00
19:44:40      0.00      0.00
19:44:41      0.00      0.00
19:44:42      0.00      0.00
19:44:43      0.00      0.00
19:44:44      0.00      0.00
19:44:45      0.00      0.00
19:44:46      0.00      0.00
19:44:47      0.00      0.00
19:44:48      0.00      0.00
19:44:49      0.00      0.00
19:44:50      0.00      0.00
19:44:51      0.00      0.00
19:44:52      0.00      0.00
19:44:53      0.00      0.00
19:44:54      0.00      0.00
19:44:55      0.00      0.00
19:44:56      0.00      0.00
19:44:57      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:44:58      0.00      0.00
19:44:59      0.05      0.05
19:45:00      0.00      0.00
19:45:01      0.05      0.05
19:45:02      0.00      0.00
19:45:03      0.00      0.00
19:45:04      0.08      0.08
19:45:05      0.00      0.00
19:45:06      0.00      0.00
19:45:07      0.05      0.05
19:45:08      0.00      0.00
19:45:09      0.00      0.00
19:45:10      0.00      0.00
19:45:11      0.08      0.05
19:45:12      0.00      0.00
19:45:13      0.00      0.00
19:45:14      0.00      0.00
19:45:15      1.38      0.00
19:45:16      3.44      0.00
19:45:17      0.70      0.00
19:45:18      1.38      0.00
19:45:19      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:45:20      1.50      0.05
19:45:21      0.00      0.00
19:45:22      1.38      0.00
19:45:23      0.00      0.00
19:45:24      0.00      0.00
19:45:25      0.00      0.00
19:45:26      0.00      0.00
19:45:27      0.00      0.00
19:45:28      0.00      0.00
19:45:29      0.00      0.00
19:45:30      0.00      0.00
19:45:31      0.05      0.05
19:45:32      0.00      0.00
19:45:33      0.00      0.00
19:45:34      0.00      0.00
19:45:35      0.00      0.00
19:45:36      0.08      0.08
19:45:37      0.00      0.00
19:45:38      0.00      0.00
19:45:39      0.00      0.00
19:45:40      0.00      0.00
