procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30986788  91520 958144    0    0     0     0   66  422  0  0 100  0  0 2024-05-16 19:34:47
 0  0      0 30986536  91520 958144    0    0     0     0   62  415  0  0 100  0  0 2024-05-16 19:34:48
 1  0      0 30986536  91520 958144    0    0     0     0   50  382  0  0 100  0  0 2024-05-16 19:34:49
 0  0      0 30986536  91528 958144    0    0     0    20   68  425  0  0 100  0  0 2024-05-16 19:34:50
 0  0      0 30986536  91528 958144    0    0     0    12   65  406  0  0 100  0  0 2024-05-16 19:34:51
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30986788  91528 958144    0    0     0     0   62  400  0  0 100  0  0 2024-05-16 19:34:52
 0  0      0 30986536  91528 958144    0    0     0     0   67  408  0  0 100  0  0 2024-05-16 19:34:53
 0  0      0 30986536  91528 958144    0    0     0     0   65  405  0  0 100  0  0 2024-05-16 19:34:54
 0  0      0 30986536  91528 958144    0    0     0     0   63  420  0  0 100  0  0 2024-05-16 19:34:55
 0  0      0 30984364  91536 958144    0    0     0    20   72  477  0  0 100  0  0 2024-05-16 19:34:56
 0  0      0 30984396  91536 958148    0    0     0    16   80  470  0  0 100  0  0 2024-05-16 19:34:57
 0  0      0 30984144  91536 958148    0    0     0     0   64  418  0  0 100  0  0 2024-05-16 19:34:58
 0  0      0 30984396  91536 958148    0    0     0     0   62  425  0  0 100  0  0 2024-05-16 19:34:59
 0  0      0 30984396  91536 958148    0    0     0     0   62  406  0  0 100  0  0 2024-05-16 19:35:00
 0  0      0 30984396  91544 958148    0    0     0    32   91  477  0  0 100  0  0 2024-05-16 19:35:01
 0  0      0 30984144  91544 958148    0    0     0   196   65  420  0  0 100  0  0 2024-05-16 19:35:02
 0  0      0 30984144  91544 958148    0    0     0     0   69  419  0  0 100  0  0 2024-05-16 19:35:03
 0  0      0 30984400  91544 958148    0    0     0     0   62  396  0  0 100  0  0 2024-05-16 19:35:04
 0  0      0 30984400  91544 958148    0    0     0     0   62  414  0  0 100  0  0 2024-05-16 19:35:05
 0  0      0 30984400  91552 958148    0    0     0    52   61  427  0  0 100  0  0 2024-05-16 19:35:06
 0  0      0 30984440  91552 958148    0    0     0    48   80  448  0  0 100  0  0 2024-05-16 19:35:07
 0  0      0 30984188  91552 958148    0    0     0     0   61  396  0  0 100  0  0 2024-05-16 19:35:08
 0  0      0 30984188  91552 958148    0    0     0     0   67  405  0  0 100  0  0 2024-05-16 19:35:09
 0  0      0 30984188  91552 958148    0    0     0     0   59  408  0  0 100  0  0 2024-05-16 19:35:10
 0  0      0 30984440  91552 958148    0    0     0     0   62  430  0  0 100  0  0 2024-05-16 19:35:11
 0  0      0 30984440  91560 958148    0    0     0    20   66  429  0  0 100  0  0 2024-05-16 19:35:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
